Unnamed: 0,order_id,user_id,estimated arrival,transaction_date
4,B4C411DE-2FD3-4806-91AE-165EDC9BAA12,USER28531,13.0,2021-10-12
7,D42D7E7A-71BD-43AA-8BED-49D52B74D4EB,USER56935,13.0,2021-10-15
41,84295DE8-90C2-4E67-A1D9-B1FFAB45623F,USER11824,13.0,2021-10-11
43,74A59808-B7F5-4DC1-B441-A8E0E15B49B6,USER51578,15.0,2021-10-22
61,B3965E7D-23D7-475B-93F0-13B49A999030,USER51925,9.0,2021-10-09
65,B686EBBD-5349-455D-913D-468132DC3034,USER15061,11.0,2021-11-30
77,C9D73340-75BA-4AD0-9E56-7EA82003EF5D,USER58907,8.0,2021-12-09
102,B620EBAB-C44D-4372-9FC7-838800D31287,USER38831,8.0,2021-10-05
106,A1B5CFE0-54F5-49F4-B9F3-6975AA67D282,USER15366,15.0,2021-10-30
130,F7701CDD-F012-41C6-A564-CD5020582C5C,USER62662,11.0,2021-12-23
139,599C1ED0-5FD0-4261-ADC6-C166A2C8D9C0,USER12112,13.0,2021-12-07
146,CBD62262-53A8-4734-BF4F-98C3D69213D5,USER44979,15.0,2021-11-27
160,4AB62B3B-2EF8-44B9-B3BD-B9EE944A79D2,USER12334,11.0,2021-12-27
171,7FB8E1CE-6AC7-4759-A607-BE35F487BC70,USER51864,6.0,2021-12-17
172,2E0F14A7-162B-4C8F-BE15-7CB321EF9A95,USER00961,9.0,2021-10-27
180,A5E065E9-919E-4826-9995-FCC1EEBE786B,USER46821,15.0,2021-12-28
201,3A45A602-8773-44A9-B662-B3C6D2380D0C,USER17253,14.0,2021-10-11
208,C92780CB-C209-4644-BEBE-8CEF40C5E6B5,USER43214,6.0,2021-10-20
240,8404CC5A-4616-4555-AD44-D5B9C444C9F9,USER08571,6.0,2021-10-02
249,2F1FE84C-3218-4EC2-9CAA-9CB71CA70BA2,USER18857,15.0,2021-10-21
273,B84BFFBA-433E-462E-B0C2-9A11728E7FFE,USER48731,4.0,2021-12-25
290,DBBA3855-BEAD-49C9-8444-876587C663A9,USER19071,14.0,2021-12-25
302,AA100E02-A927-4F61-8511-0D1D9AD33E1A,USER24295,6.0,2021-12-07
315,5D969F15-C865-4689-B270-089E7C0389A7,USER06065,3.0,2021-10-08
318,675E3E4E-8A0B-4135-8792-E351B9A0061C,USER57234,4.0,2021-10-24
321,7892E710-172F-4779-A46C-995CDD9F5917,USER37774,13.0,2021-11-02
330,B8013CF9-5369-464D-90D3-F590B66981FD,USER49220,3.0,2021-11-15
335,8BC4BCFD-BD13-4387-BAAC-D2E515824C53,USER14094,4.0,2021-10-14
360,3D10724F-4636-48D4-95BC-CD7C867733E0,USER10097,10.0,2021-11-05
405,77A61466-839D-4CB1-AD41-9F9A22D3A71A,USER17152,7.0,2021-11-02
