Unnamed: 0,order_id,user_id,estimated_arrival_in_days,transaction_date
2,0612c246-57f1-40e8-9993-0f8d41992049,U24284,10,2023-08-14
5,74e7c07a-d266-492f-a8f7-22987013d7e1,U47513,15,2023-10-30
9,4aab29ae-e610-46bf-92af-199f6f420cee,U50778,14,2023-09-19
18,89c3c238-2ae5-4883-bba5-08e23dbedee3,U44062,8,2023-07-11
20,03c25b03-a7cc-4758-8490-cdd5dd492646,U48153,15,2023-07-21
27,fd92cc32-e28e-4f14-b8f8-4526ea58fb3f,U28561,3,2023-11-13
50,425c355a-bfe4-4bff-bea5-f519cc73a1bb,U44940,10,2023-06-05
69,5310c9f0-9573-4f06-9e95-646b0d809485,U33928,3,2023-09-03
79,a0410714-4e8b-4ded-81ef-dfb7881e3225,U32100,6,2023-11-16
104,d0d34809-6960-49e2-9dbf-98f70fc760d9,U26781,15,2023-06-08
115,9d36f777-2430-480f-a90e-f33da3a2cdac,U54730,9,2023-07-21
118,2880e5ba-65ce-474e-9a16-471e5d530253,U24651,10,2023-10-18
122,78f15595-046b-40ed-a70e-a406ce5e9be5,U31561,9,2023-07-31
132,94992d62-9a24-4ba2-b8bc-cd87151ca524,U28342,8,2023-07-10
134,29b4bac9-6bef-449a-858c-1fe3d6a1dbfd,U08020,11,2023-06-07
136,8d8acbac-ccbb-4609-a978-98dee3ac3088,U13754,9,2023-10-11
141,e44efe31-3496-4ea4-8a85-b80f4480cfb3,U02873,14,2023-07-28
143,2f8a8025-775f-401a-afbd-0c2426ebf54b,U57761,5,2023-07-30
163,3577be77-3e80-48ce-8116-54108f16de57,U03521,8,2023-06-28
169,fd39ccac-c100-4779-bdd8-a194c9478f29,U58338,8,2023-07-12
170,89b5b4b5-ac81-461c-a11f-77d265202fa3,U30211,15,2023-10-14
194,6f28ecde-b4d6-4e12-a7db-f42318cb704d,U53044,9,2023-09-19
206,aae511ed-323d-450f-aaaf-ede80d2045b9,U09223,5,2023-06-26
215,f82084ae-ba46-439b-9c85-e62799520663,U48890,4,2023-10-15
217,4f21ea51-350c-4590-a774-370a4cf436d2,U05631,13,2023-06-15
229,791f9340-31cd-44f4-a956-1300319aff17,U29621,14,2023-10-17
