order_id,user_id,estimated_arrival_in_days,transaction_date
b4c411de-2fd3-4806-91ae-165edc9baa12,U28531,13,2021-10-12
d42d7e7a-71bd-43aa-8bed-49d52b74d4eb,U56935,13,2021-10-15
84295de8-90c2-4e67-a1d9-b1ffab45623f,U11824,13,2021-10-11
74a59808-b7f5-4dc1-b441-a8e0e15b49b6,U51578,15,2021-10-22
b3965e7d-23d7-475b-93f0-13b49a999030,U51925,9,2021-10-09
b686ebbd-5349-455d-913d-468132dc3034,U15061,11,2021-11-30
c9d73340-75ba-4ad0-9e56-7ea82003ef5d,U58907,8,2021-12-09
b620ebab-c44d-4372-9fc7-838800d31287,U38831,8,2021-10-05
a1b5cfe0-54f5-49f4-b9f3-6975aa67d282,U15366,15,2021-10-30
f7701cdd-f012-41c6-a564-cd5020582c5c,U62662,11,2021-12-23
599c1ed0-5fd0-4261-adc6-c166a2c8d9c0,U12112,13,2021-12-07
cbd62262-53a8-4734-bf4f-98c3d69213d5,U44979,15,2021-11-27
4ab62b3b-2ef8-44b9-b3bd-b9ee944a79d2,U12334,11,2021-12-27
7fb8e1ce-6ac7-4759-a607-be35f487bc70,U51864,6,2021-12-17
2e0f14a7-162b-4c8f-be15-7cb321ef9a95,U00961,9,2021-10-27
a5e065e9-919e-4826-9995-fcc1eebe786b,U46821,15,2021-12-28
3a45a602-8773-44a9-b662-b3c6d2380d0c,U17253,14,2021-10-11
c92780cb-c209-4644-bebe-8cef40c5e6b5,U43214,6,2021-10-20
8404cc5a-4616-4555-ad44-d5b9c444c9f9,U08571,6,2021-10-02
2f1fe84c-3218-4ec2-9caa-9cb71ca70ba2,U18857,15,2021-10-21
b84bffba-433e-462e-b0c2-9a11728e7ffe,U48731,4,2021-12-25
dbba3855-bead-49c9-8444-876587c663a9,U19071,14,2021-12-25
aa100e02-a927-4f61-8511-0d1d9ad33e1a,U24295,6,2021-12-07
5d969f15-c865-4689-b270-089e7c0389a7,U06065,3,2021-10-08
675e3e4e-8a0b-4135-8792-e351b9a0061c,U57234,4,2021-10-24
7892e710-172f-4779-a46c-995cdd9f5917,U37774,13,2021-11-02
b8013cf9-5369-464d-90d3-f590b66981fd,U49220,3,2021-11-15
8bc4bcfd-bd13-4387-baac-d2e515824c53,U14094,4,2021-10-14
3d10724f-4636-48d4-95bc-cd7c867733e0,U10097,10,2021-11-05
77a61466-839d-4cb1-ad41-9f9a22d3a71a,U17152,7,2021-11-02
aa7ceeb4-901f-41d6-b284-cdfa89982873,U22468,3,2021-11-22
4b7119dc-8886-43bc-a861-637e0e270675,U26207,10,2021-12-03
9a6aac67-dd2b-4cc9-9fce-d878e7c29382,U21730,7,2021-12-21
990dfe77-901b-4f9b-b1e2-f3e68be7d9de,U32370,8,2021-10-15
22492f23-57dd-4000-95f2-deafde496c5c,U59150,3,2021-10-13
6d69cdd2-10ff-4c7f-9c4f-98227b6c7d53,U07797,9,2021-11-13
87959dab-d0eb-422d-944f-112a9ec995bb,U65400,7,2021-10-12
261363d8-a425-426b-afa0-0e7cf8a70ee7,U05499,3,2021-12-25
cbf510ac-d456-4fd9-8699-3612461d6fa1,U23416,5,2021-11-27
35d35529-5a6c-42a0-b18b-49359530ae43,U54437,9,2021-11-13
667fa5ae-dc86-407d-89b5-8a6b78475d4a,U26444,4,2021-12-31
1b9bb07d-de4b-40c9-a0b4-c749ce6ed6a3,U47728,11,2021-10-19
9e2592e0-e611-4649-968b-8fd08d1ddc20,U11459,11,2021-12-09
d70d3777-2fa3-46fa-9c54-ee4664a00447,U21725,9,2021-11-24
5bf1463f-9d1c-4e49-84ea-e3ddb920982b,U46771,4,2021-10-20
5e78c964-214e-407f-a3f8-0fd8ff9fd078,U16139,5,2021-10-30
da1cafc9-6924-472f-b67b-e698ae853db6,U27241,14,2021-10-15
cff3aa2e-3e2e-432b-9ad3-e2bfa648760d,U10272,5,2021-10-10
0b4f2557-ceec-4a09-b48c-28f8b818e9f0,U45353,8,2021-11-26
de723d07-580e-4483-8042-7a0ceb2a8f36,U50073,13,2021-10-08
e3bafa97-7ad9-4a89-86e0-6dce142f704d,U58668,9,2021-12-21
9d204c3a-3218-481b-812b-268520c7b788,U15459,15,2021-12-19
c45bfc57-c3cd-4172-b35f-6d865a812ee2,U31546,4,2021-11-05
a9044251-9b1b-4df0-88ed-403920819c58,U21816,6,2021-10-23
cff37328-d895-41a6-943f-42a6c76c5965,U18240,11,2021-11-23
54faffc3-7cb4-459c-80bc-7e000bfd26ef,U31798,11,2021-12-26
